@relation flare
@attribute LargestSpotSize {A, R, S, X, K, H}
@attribute SpotDistribution {X, O, I, C}
@attribute Activity {1, 2}
@attribute Evolution {1, 2, 3}
@attribute Prev24Hour {1, 2, 3}
@attribute HistComplex {1, 2}
@attribute BecomeHist {1, 2}
@attribute Area {1, 2}
@attribute C-class {0, 1, 2, 3, 4, 5, 6, 7, 8}
@attribute M-class {0, 1, 2, 3, 4, 5}
@attribute X-class {0, 1, 2}
@attribute Class {H, D, C, B, E, F}
@inputs LargestSpotSize, SpotDistribution, Activity, Evolution, Prev24Hour, HistComplex, BecomeHist, Area, C-class, M-class, X-class
@outputs Class
@data
A, X, 1, 3, 1, 1, 1, 1, 0, 0, 0, H
X, O, 1, 3, 1, 1, 2, 1, 0, 0, 0, B
R, I, 1, 3, 1, 1, 2, 1, 1, 0, 0, D
X, O, 1, 3, 1, 1, 2, 1, 0, 0, 0, B
X, O, 1, 2, 1, 2, 2, 1, 1, 0, 0, B
S, O, 1, 3, 1, 2, 2, 1, 0, 0, 0, D
S, I, 2, 2, 1, 2, 2, 1, 0, 0, 0, D
S, X, 1, 2, 1, 2, 2, 1, 0, 0, 0, H
X, O, 1, 3, 1, 1, 2, 1, 0, 0, 0, B
S, O, 2, 2, 1, 1, 2, 1, 0, 0, 0, C
X, O, 1, 3, 1, 1, 2, 1, 0, 0, 0, B
S, O, 1, 3, 1, 1, 2, 1, 0, 0, 0, C
A, O, 2, 3, 1, 1, 2, 1, 0, 0, 0, D
S, X, 1, 3, 1, 1, 2, 1, 0, 0, 0, H
R, I, 2, 2, 1, 1, 2, 1, 0, 0, 0, D
X, O, 1, 2, 1, 1, 2, 1, 0, 0, 0, B
S, X, 1, 2, 1, 1, 1, 1, 0, 0, 0, H
R, X, 1, 2, 1, 1, 2, 1, 0, 0, 0, H
X, O, 1, 3, 1, 1, 2, 1, 0, 0, 0, B
A, O, 1, 3, 1, 2, 2, 1, 0, 0, 0, C
R, O, 1, 3, 1, 1, 2, 1, 0, 0, 0, C
S, O, 1, 3, 1, 2, 2, 1, 0, 0, 0, C
A, I, 1, 3, 1, 1, 2, 1, 0, 0, 0, D
