0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,target
1.0,0.2711111111111111,0.0,0.5,0.0,0.9230769230769231,0.875,0.043859649122807015,1.0,1.0,0.014925373134328358,0.0,0.0,0.101,0.0,1
0.0,0.713015873015873,0.15928571428571428,0.5,0.0,0.7692307692307693,0.375,0.10666666666666666,1.0,1.0,0.08955223880597014,0.0,0.0,0.021500000000000002,0.005600000000000001,1
0.0,0.17063492063492058,0.017857142857142856,0.5,0.0,0.7692307692307693,0.375,0.05263157894736842,1.0,0.0,0.0,0.0,0.0,0.14,0.00824,1
1.0,0.22349206349206346,0.055,0.5,0.0,0.9230769230769231,0.875,0.13157894736842105,1.0,1.0,0.07462686567164178,1.0,0.0,0.05,3.0000000000000004e-05,1
1.0,0.10190476190476189,0.20089285714285712,0.5,0.0,0.9230769230769231,0.875,0.06,1.0,0.0,0.0,0.0,1.0,0.06,0.0,1
1.0,0.29095238095238085,0.14285714285714285,0.5,0.0,0.6923076923076923,0.875,0.08771929824561403,1.0,0.0,0.0,1.0,0.0,0.18,0.0,1
1.0,0.3082539682539682,0.037142857142857144,0.5,0.0,0.8461538461538463,0.375,0.22807017543859648,1.0,0.0,0.0,1.0,0.0,0.082,0.31285,1
0.0,0.14555555555555555,0.41375,0.5,0.0,0.15384615384615385,0.875,0.0014035087719298245,1.0,0.0,0.0,0.0,0.0,0.04,0.01349,1
1.0,0.6455555555555555,0.017857142857142856,1.0,1.0,0.6153846153846154,0.375,0.13894736842105262,1.0,0.0,0.0,0.0,0.0,0.09,0.0031400000000000004,1
1.0,0.4563492063492063,0.17553571428571427,1.0,1.0,0.9230769230769231,0.875,0.11105263157894736,1.0,0.0,0.0,1.0,0.0,0.026000000000000002,0.01442,1
1.0,0.13222222222222219,0.02964285714285714,0.5,0.0,0.07692307692307693,0.375,0.07596491228070175,0.0,0.0,0.0,1.0,0.0,0.064,0.0,1
1.0,0.25666666666666665,0.06553571428571428,0.5,0.0,0.07692307692307693,0.375,0.15210526315789472,1.0,0.0,0.0,0.0,0.0,0.13,0.002,1
0.0,0.38888888888888884,0.21428571428571427,0.5,0.0,0.6153846153846154,0.875,0.03508771929824561,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1
1.0,0.5449206349206348,0.2157142857142857,0.5,0.0,0.6153846153846154,0.875,0.0014035087719298245,0.0,0.0,0.0,0.0,0.0,0.0,0.026900000000000004,1
0.0,0.5092063492063491,0.375,0.5,0.0,0.7692307692307693,0.875,0.17543859649122806,1.0,1.0,0.1044776119402985,1.0,0.0,0.0,0.0,1
1.0,0.3638095238095238,0.15767857142857142,1.0,1.0,0.6153846153846154,0.875,0.008771929824561403,1.0,1.0,0.14925373134328357,1.0,0.0,0.16,0.0,1
1.0,0.23015873015873012,0.03125,0.5,0.0,0.6923076923076923,0.875,0.03368421052631579,1.0,1.0,0.04477611940298507,1.0,0.0,0.198,0.0,1
0.0,0.15079365079365076,0.20982142857142855,0.5,0.0,0.7692307692307693,0.875,0.11122807017543859,1.0,1.0,0.14925373134328357,0.0,0.0,0.06,0.0024500000000000004,1
1.0,0.12825396825396823,0.008928571428571428,0.5,0.0,0.23076923076923078,0.375,0.023333333333333334,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1
0.0,0.08603174603174601,0.30660714285714286,0.5,0.0,0.15384615384615385,0.375,0.02631578947368421,1.0,1.0,0.1044776119402985,0.0,0.0,0.048,0.0,1
1.0,0.17857142857142855,0.40178571428571425,0.5,0.0,0.07692307692307693,0.875,0.08771929824561403,1.0,1.0,0.2537313432835821,0.0,0.0,0.1,0.01208,1
1.0,0.15079365079365076,0.03571428571428571,0.5,0.0,0.07692307692307693,0.875,0.029298245614035084,1.0,0.0,0.0,0.0,1.0,0.15,0.0,1
0.0,0.5396825396825397,0.2857142857142857,0.5,0.0,0.07692307692307693,0.875,0.2763157894736842,1.0,1.0,0.08955223880597014,1.0,0.0,0.0,0.012600000000000002,1
