@relation vowel
@attribute TT integer [0, 1]
@attribute SpeakerNumber integer [0, 14]
@attribute Sex integer [0, 1]
@attribute F0 real [-5.211, -0.941]
@attribute F1 real [-1.274, 5.074]
@attribute F2 real [-2.487, 1.431]
@attribute F3 real [-1.409, 2.377]
@attribute F4 real [-2.127, 1.831]
@attribute F5 real [-0.836, 2.327]
@attribute F6 real [-1.537, 1.403]
@attribute F7 real [-1.293, 2.039]
@attribute F8 real [-1.613, 1.309]
@attribute F9 real [-1.68, 1.396]
@attribute Class {0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10}
@inputs TT, SpeakerNumber, Sex, F0, F1, F2, F3, F4, F5, F6, F7, F8, F9
@outputs Class
@data
0, 0, 0, -3.648, 1.812, -1.378, 1.578, 0.065, 1.577, -0.466, 0.702, 0.06, -0.836, 9
0, 0, 0, -3.653, 0.373, -0.6, 1.705, -0.222, 1.765, -0.353, 0.537, -0.797, -0.813, 0
0, 0, 0, -3.237, 0.436, -0.86, 1.363, -0.251, 1.915, -0.395, 0.751, -0.774, -0.327, 1
0, 0, 0, -2.304, 1.784, -1.506, 0.981, -0.961, 0.806, -0.294, -0.0020, 0.119, -0.76, 3
0, 0, 0, -3.665, 0.337, -0.641, 1.791, -0.194, 1.686, -0.359, 0.57, -0.676, -0.841, 0
0, 0, 0, -2.105, 1.035, -1.705, 0.231, -0.558, 1.554, -0.649, 0.71, -0.855, -0.151, 2
0, 0, 0, -2.887, 2.131, -0.83, 0.682, -1.557, 0.818, 0.448, -0.382, 0.207, -0.402, 5
0, 0, 0, -3.635, 2.25, -0.394, 1.012, -1.693, 0.117, 0.665, 0.281, 0.343, -0.0030, 6
0, 0, 0, -2.081, 1.05, -1.778, 0.411, -0.518, 1.46, -0.576, 0.735, -0.866, -0.172, 2
0, 0, 0, -2.69, 1.652, -1.261, 0.674, -0.964, 1.449, -0.593, 1.005, -0.303, -0.541, 10
0, 0, 0, -4.208, 2.447, 0.049, 1.331, -2.088, 0.585, -0.05, 0.82, 0.606, -0.302, 7
0, 0, 0, -3.473, 2.178, -0.82, 0.706, -1.71, 0.779, 0.422, 0.351, 0.426, -0.267, 6
0, 1, 0, -1.816, 0.458, -0.947, -0.341, 0.085, 0.75, 0.144, 0.462, -0.24, -0.266, 2
0, 1, 0, -1.954, 1.595, -1.593, 0.37, -0.136, 0.022, 0.034, 0.321, -0.19, -0.491, 3
0, 1, 0, -2.321, 1.303, 0.32, -0.085, -0.278, 0.0010, -0.094, -0.283, 0.852, 0.022, 5
0, 1, 0, -4.52, 2.231, -0.088, 0.513, -0.528, 1.246, 0.198, 0.242, 0.161, 0.769, 9
