@relation movement_libras
@attribute 1st_coordinate_abcissa real [0.090909, 0.9323]
@attribute 1st_coordinate_ordinate real [0.14815, 0.88657]
@attribute 2st_coordinate_abcissa real [0.085106, 0.93037]
@attribute 2st_coordinate_ordinate real [0.14815, 0.88889]
@attribute 3st_coordinate_abcissa real [0.085106, 0.9323]
@attribute 3st_coordinate_ordinate real [0.14815, 0.88426]
@attribute 4st_coordinate_abcissa real [0.088975, 0.9323]
@attribute 4st_coordinate_ordinate real [0.14583, 0.88194]
@attribute 5st_coordinate_abcissa real [0.092843, 0.9323]
@attribute 5st_coordinate_ordinate real [0.14583, 0.875]
@attribute 6st_coordinate_abcissa real [0.10058, 0.9323]
@attribute 6st_coordinate_ordinate real [0.14352, 0.875]
@attribute 7st_coordinate_abcissa real [0.10445, 0.93424]
@attribute 7st_coordinate_ordinate real [0.14352, 0.87037]
@attribute 8st_coordinate_abcissa real [0.11025, 0.94197]
@attribute 8st_coordinate_ordinate real [0.1412, 0.86343]
@attribute 9st_coordinate_abcissa real [0.11992, 0.94391]
@attribute 9st_coordinate_ordinate real [0.1412, 0.86343]
@attribute 10st_coordinate_abcissa real [0.12766, 0.94391]
@attribute 10st_coordinate_ordinate real [0.13657, 0.86111]
@attribute 11st_coordinate_abcissa real [0.13153, 0.94197]
@attribute 11st_coordinate_ordinate real [0.13657, 0.84722]
@attribute 12st_coordinate_abcissa real [0.10638, 0.94197]
@attribute 12st_coordinate_ordinate real [0.13426, 0.84028]
@attribute 13st_coordinate_abcissa real [0.040619, 0.9381]
@attribute 13st_coordinate_ordinate real [0.092593, 1.0]
@attribute 14st_coordinate_abcissa real [0.015474, 0.9265]
@attribute 14st_coordinate_ordinate real [0.018519, 0.84028]
@attribute 15st_coordinate_abcissa real [0.017408, 0.91489]
@attribute 15st_coordinate_ordinate real [0.018519, 0.84028]
@attribute 16st_coordinate_abcissa real [0.023211, 0.91103]
@attribute 16st_coordinate_ordinate real [0.0625, 0.84028]
@attribute 17st_coordinate_abcissa real [0.052224, 0.88781]
@attribute 17st_coordinate_ordinate real [0.12269, 0.84028]
@attribute 18st_coordinate_abcissa real [0.10832, 0.88781]
@attribute 18st_coordinate_ordinate real [0.14815, 0.84028]
@attribute 19st_coordinate_abcissa real [0.13926, 0.88781]
@attribute 19st_coordinate_ordinate real [0.14583, 0.84028]
@attribute 20st_coordinate_abcissa real [0.16054, 0.88588]
@attribute 20st_coordinate_ordinate real [0.12963, 0.84028]
@attribute 21st_coordinate_abcissa real [0.147, 0.88008]
@attribute 21st_coordinate_ordinate real [0.13194, 0.84028]
@attribute 22st_coordinate_abcissa real [0.11219, 0.88008]
@attribute 22st_coordinate_ordinate real [0.15046, 0.84028]
@attribute 23st_coordinate_abcissa real [0.088975, 0.88008]
@attribute 23st_coordinate_ordinate real [0.14815, 0.83796]
@attribute 24st_coordinate_abcissa real [0.083172, 0.88008]
@attribute 24st_coordinate_ordinate real [0.14352, 0.87037]
@attribute 25st_coordinate_abcissa real [0.071567, 0.88588]
@attribute 25st_coordinate_ordinate real [0.13889, 0.95833]
@attribute 26st_coordinate_abcissa real [0.052224, 0.89362]
@attribute 26st_coordinate_ordinate real [0.13657, 0.9838]
@attribute 27st_coordinate_abcissa real [0.046422, 0.89555]
@attribute 27st_coordinate_ordinate real [0.13426, 0.85185]
@attribute 28st_coordinate_abcissa real [0.040619, 0.88975]
@attribute 28st_coordinate_ordinate real [0.13194, 0.86806]
@attribute 29st_coordinate_abcissa real [0.048356, 0.89749]
@attribute 29st_coordinate_ordinate real [0.12731, 0.87037]
@attribute 30st_coordinate_abcissa real [0.067698, 0.88975]
@attribute 30st_coordinate_ordinate real [0.11111, 0.86111]
@attribute 31st_coordinate_abcissa real [0.088975, 0.89749]
@attribute 31st_coordinate_ordinate real [0.10185, 0.85417]
@attribute 32st_coordinate_abcissa real [0.094778, 0.90522]
@attribute 32st_coordinate_ordinate real [0.041667, 0.83565]
@attribute 33st_coordinate_abcissa real [0.092843, 0.91876]
@attribute 33st_coordinate_ordinate real [0.0, 0.82407]
@attribute 34st_coordinate_abcissa real [0.10058, 0.90716]
@attribute 34st_coordinate_ordinate real [0.0, 0.82639]
@attribute 35st_coordinate_abcissa real [0.071567, 0.90716]
@attribute 35st_coordinate_ordinate real [0.030093, 0.83333]
@attribute 36st_coordinate_abcissa real [0.065764, 0.91683]
@attribute 36st_coordinate_ordinate real [0.085648, 0.83565]
@attribute 37st_coordinate_abcissa real [0.017408, 0.9207]
@attribute 37st_coordinate_ordinate real [0.11111, 0.87963]
@attribute 38st_coordinate_abcissa real [0.0, 0.92456]
@attribute 38st_coordinate_ordinate real [0.099537, 0.9838]
@attribute 39st_coordinate_abcissa real [0.0058027, 0.92843]
@attribute 39st_coordinate_ordinate real [0.094907, 0.96991]
@attribute 40st_coordinate_abcissa real [0.025145, 0.94391]
@attribute 40st_coordinate_ordinate real [0.085648, 0.84722]
@attribute 41st_coordinate_abcissa real [0.059961, 0.96132]
@attribute 41st_coordinate_ordinate real [0.076389, 0.83102]
@attribute 42st_coordinate_abcissa real [0.059961, 0.97099]
@attribute 42st_coordinate_ordinate real [0.050926, 0.81944]
@attribute 43st_coordinate_abcissa real [0.029014, 0.97872]
@attribute 43st_coordinate_ordinate real [0.030093, 0.82407]
@attribute 44st_coordinate_abcissa real [0.011605, 0.98839]
@attribute 44st_coordinate_ordinate real [0.0092593, 0.87269]
@attribute 45st_coordinate_abcissa real [0.0058027, 1.0]
@attribute 45st_coordinate_ordinate real [0.0069444, 0.88426]
@attribute Class {1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15}
@inputs 1st_coordinate_abcissa, 1st_coordinate_ordinate, 2st_coordinate_abcissa, 2st_coordinate_ordinate, 3st_coordinate_abcissa, 3st_coordinate_ordinate, 4st_coordinate_abcissa, 4st_coordinate_ordinate, 5st_coordinate_abcissa, 5st_coordinate_ordinate, 6st_coordinate_abcissa, 6st_coordinate_ordinate, 7st_coordinate_abcissa, 7st_coordinate_ordinate, 8st_coordinate_abcissa, 8st_coordinate_ordinate, 9st_coordinate_abcissa, 9st_coordinate_ordinate, 10st_coordinate_abcissa, 10st_coordinate_ordinate, 11st_coordinate_abcissa, 11st_coordinate_ordinate, 12st_coordinate_abcissa, 12st_coordinate_ordinate, 13st_coordinate_abcissa, 13st_coordinate_ordinate, 14st_coordinate_abcissa, 14st_coordinate_ordinate, 15st_coordinate_abcissa, 15st_coordinate_ordinate, 16st_coordinate_abcissa, 16st_coordinate_ordinate, 17st_coordinate_abcissa, 17st_coordinate_ordinate, 18st_coordinate_abcissa, 18st_coordinate_ordinate, 19st_coordinate_abcissa, 19st_coordinate_ordinate, 20st_coordinate_abcissa, 20st_coordinate_ordinate, 21st_coordinate_abcissa, 21st_coordinate_ordinate, 22st_coordinate_abcissa, 22st_coordinate_ordinate, 23st_coordinate_abcissa, 23st_coordinate_ordinate, 24st_coordinate_abcissa, 24st_coordinate_ordinate, 25st_coordinate_abcissa, 25st_coordinate_ordinate, 26st_coordinate_abcissa, 26st_coordinate_ordinate, 27st_coordinate_abcissa, 27st_coordinate_ordinate, 28st_coordinate_abcissa, 28st_coordinate_ordinate, 29st_coordinate_abcissa, 29st_coordinate_ordinate, 30st_coordinate_abcissa, 30st_coordinate_ordinate, 31st_coordinate_abcissa, 31st_coordinate_ordinate, 32st_coordinate_abcissa, 32st_coordinate_ordinate, 33st_coordinate_abcissa, 33st_coordinate_ordinate, 34st_coordinate_abcissa, 34st_coordinate_ordinate, 35st_coordinate_abcissa, 35st_coordinate_ordinate, 36st_coordinate_abcissa, 36st_coordinate_ordinate, 37st_coordinate_abcissa, 37st_coordinate_ordinate, 38st_coordinate_abcissa, 38st_coordinate_ordinate, 39st_coordinate_abcissa, 39st_coordinate_ordinate, 40st_coordinate_abcissa, 40st_coordinate_ordinate, 41st_coordinate_abcissa, 41st_coordinate_ordinate, 42st_coordinate_abcissa, 42st_coordinate_ordinate, 43st_coordinate_abcissa, 43st_coordinate_ordinate, 44st_coordinate_abcissa, 44st_coordinate_ordinate, 45st_coordinate_abcissa, 45st_coordinate_ordinate
@outputs Class
@data
0.83366, 0.3588, 0.83752, 0.37731, 0.82979, 0.38426, 0.83172, 0.37731, 0.83172, 0.41667, 0.80077, 0.50231, 0.73114, 0.57639, 0.63636, 0.63426, 0.54545, 0.66667, 0.47195, 0.65278, 0.42553, 0.61111, 0.41006, 0.55093, 0.41393, 0.47685, 0.42747, 0.40046, 0.44681, 0.34028, 0.46035, 0.32639, 0.45841, 0.36806, 0.46422, 0.43519, 0.49323, 0.49769, 0.53965, 0.5463, 0.61315, 0.57176, 0.70406, 0.56944, 0.78723, 0.54398, 0.84139, 0.48611, 0.8646, 0.39815, 0.8646, 0.31713, 0.86654, 0.26852, 0.87234, 0.30093, 0.87041, 0.38426, 0.8472, 0.46759, 0.78917, 0.52546, 0.706, 0.57407, 0.60542, 0.61343, 0.5029, 0.61574, 0.43714, 0.55324, 0.41586, 0.45833, 0.42553, 0.37037, 0.44681, 0.32176, 0.45455, 0.35185, 0.46035, 0.43519, 0.4913, 0.51157, 0.55706, 0.56019, 0.64603, 0.5787, 0.74662, 0.56713, 0.83752, 0.52546, 1
0.77563, 0.60417, 0.77563, 0.60417, 0.7795, 0.59722, 0.75629, 0.53935, 0.70793, 0.44444, 0.64217, 0.39815, 0.54352, 0.43519, 0.4294, 0.4838, 0.37524, 0.53935, 0.32882, 0.6088, 0.31721, 0.73148, 0.31335, 0.75694, 0.31335, 0.75, 0.31141, 0.64352, 0.34816, 0.56713, 0.37718, 0.51852, 0.44101, 0.48148, 0.52998, 0.45833, 0.61122, 0.45602, 0.65957, 0.43981, 0.70019, 0.49537, 0.72921, 0.53009, 0.73308, 0.64352, 0.74662, 0.64583, 0.74468, 0.60185, 0.73308, 0.50231, 0.70213, 0.48148, 0.6499, 0.44676, 0.58607, 0.44213, 0.5087, 0.43056, 0.43133, 0.4537, 0.35977, 0.49306, 0.33075, 0.54861, 0.30368, 0.60185, 0.28627, 0.69907, 0.29207, 0.78704, 0.28433, 0.74306, 0.29207, 0.62963, 0.32689, 0.56481, 0.3675, 0.51852, 0.45648, 0.45833, 0.54545, 0.4537, 0.61509, 0.47685, 0.66344, 0.46759, 0.7118, 0.53472, 1
0.74468, 0.58565, 0.74468, 0.59028, 0.74662, 0.58333, 0.73501, 0.55787, 0.7118, 0.47222, 0.65764, 0.43287, 0.59188, 0.45139, 0.5029, 0.45139, 0.41199, 0.47685, 0.36557, 0.53704, 0.31528, 0.5625, 0.27466, 0.67593, 0.24952, 0.71759, 0.25145, 0.71991, 0.26112, 0.6713, 0.30561, 0.59028, 0.3559, 0.50694, 0.45455, 0.46296, 0.53191, 0.47222, 0.60542, 0.47454, 0.65764, 0.46991, 0.70793, 0.55324, 0.73888, 0.62037, 0.74855, 0.64583, 0.74662, 0.64352, 0.73308, 0.59722, 0.69439, 0.49769, 0.62863, 0.4537, 0.52998, 0.43519, 0.41973, 0.44676, 0.32108, 0.46296, 0.24371, 0.52546, 0.2089, 0.63889, 0.17988, 0.7338, 0.16634, 0.79167, 0.16828, 0.78704, 0.18762, 0.73611, 0.21857, 0.625, 0.27273, 0.52778, 0.36557, 0.46528, 0.47002, 0.45833, 0.56286, 0.45602, 0.62282, 0.4537, 0.66538, 0.48148, 0.71567, 0.53935, 1
0.25145, 0.29167, 0.25532, 0.29398, 0.25532, 0.29167, 0.25919, 0.28241, 0.30948, 0.26852, 0.38685, 0.25231, 0.48356, 0.26852, 0.58221, 0.3287, 0.66151, 0.40972, 0.706, 0.52083, 0.73501, 0.60417, 0.75629, 0.65741, 0.74468, 0.69907, 0.73308, 0.69907, 0.72534, 0.69676, 0.72534, 0.65509, 0.70793, 0.61806, 0.67505, 0.52778, 0.61702, 0.42361, 0.53191, 0.33102, 0.42166, 0.27778, 0.30561, 0.27778, 0.20696, 0.30093, 0.16441, 0.3125, 0.15474, 0.31944, 0.1528, 0.3125, 0.15474, 0.31713, 0.17408, 0.30324, 0.21857, 0.28241, 0.30368, 0.25, 0.42166, 0.23843, 0.55126, 0.2662, 0.66731, 0.34259, 0.74855, 0.4537, 0.78917, 0.5625, 0.80077, 0.63194, 0.7911, 0.6412, 0.77756, 0.64583, 0.76596, 0.64583, 0.74275, 0.59722, 0.70793, 0.50231, 0.64603, 0.38657, 0.5648, 0.29861, 0.47582, 0.24537, 0.37911, 0.23148, 1
0.69246, 0.72685, 0.67505, 0.71991, 0.65764, 0.70833, 0.63636, 0.69676, 0.58801, 0.66667, 0.52418, 0.64352, 0.44681, 0.6412, 0.37331, 0.65741, 0.33462, 0.66435, 0.30368, 0.6875, 0.27079, 0.72222, 0.26692, 0.72685, 0.28046, 0.70602, 0.30174, 0.68056, 0.32302, 0.65741, 0.35783, 0.6412, 0.41006, 0.61343, 0.46615, 0.60185, 0.52031, 0.60185, 0.56867, 0.61806, 0.60928, 0.63889, 0.6499, 0.66898, 0.68085, 0.67361, 0.70019, 0.73148, 0.69632, 0.7338, 0.69439, 0.70139, 0.67892, 0.66898, 0.64023, 0.65046, 0.58994, 0.62731, 0.53191, 0.61111, 0.46809, 0.61343, 0.40812, 0.62731, 0.35783, 0.64352, 0.32302, 0.65741, 0.29014, 0.68287, 0.26692, 0.71065, 0.26499, 0.71528, 0.28046, 0.69444, 0.30561, 0.67593, 0.34236, 0.6412, 0.40039, 0.59491, 0.46228, 0.56944, 0.52998, 0.56944, 0.59961, 0.60417, 0.64603, 0.62731, 1
0.84526, 0.44213, 0.84526, 0.44444, 0.8472, 0.44213, 0.84913, 0.43981, 0.84913, 0.43981, 0.84913, 0.43981, 0.83559, 0.4375, 0.79691, 0.42824, 0.74081, 0.41667, 0.67892, 0.40741, 0.61509, 0.40741, 0.54932, 0.41204, 0.48549, 0.41898, 0.41973, 0.42593, 0.37137, 0.43287, 0.34623, 0.43287, 0.35397, 0.4375, 0.39458, 0.43056, 0.45648, 0.42824, 0.52805, 0.42593, 0.59961, 0.42593, 0.66925, 0.42593, 0.73308, 0.42593, 0.79304, 0.43287, 0.84526, 0.44213, 0.88201, 0.44907, 0.89168, 0.45139, 0.87041, 0.44907, 0.82205, 0.44676, 0.76209, 0.43287, 0.69439, 0.42361, 0.62282, 0.4213, 0.55319, 0.42593, 0.48549, 0.43056, 0.41973, 0.43519, 0.36557, 0.43981, 0.32689, 0.44444, 0.31335, 0.44213, 0.32882, 0.45139, 0.36557, 0.45139, 0.41973, 0.44907, 0.48743, 0.44444, 0.55319, 0.44213, 0.61509, 0.43981, 0.67505, 0.43981, 2
0.80271, 0.47685, 0.80077, 0.47917, 0.80271, 0.47917, 0.79304, 0.47917, 0.75435, 0.47917, 0.706, 0.49306, 0.65377, 0.53241, 0.59768, 0.53704, 0.54545, 0.53935, 0.48936, 0.53472, 0.44294, 0.50694, 0.39845, 0.49769, 0.34623, 0.48611, 0.30561, 0.48611, 0.31141, 0.48611, 0.36364, 0.49306, 0.44487, 0.50463, 0.52224, 0.50231, 0.59574, 0.49769, 0.65957, 0.49537, 0.72534, 0.49306, 0.77563, 0.48843, 0.79497, 0.49074, 0.79691, 0.48843, 0.77563, 0.49306, 0.72534, 0.50231, 0.66151, 0.50463, 0.61702, 0.50694, 0.58221, 0.50694, 0.54932, 0.51389, 0.51451, 0.52083, 0.47969, 0.52083, 0.44294, 0.51389, 0.40619, 0.50926, 0.37524, 0.50694, 0.34043, 0.49074, 0.32495, 0.49769, 0.34236, 0.50231, 0.39845, 0.50231, 0.45648, 0.51157, 0.5087, 0.51852, 0.56286, 0.51852, 0.62476, 0.51157, 0.69052, 0.50231, 0.74275, 0.50231, 2
0.147, 0.47917, 0.17602, 0.47917, 0.22244, 0.4838, 0.27853, 0.50463, 0.35783, 0.50694, 0.44101, 0.50463, 0.51451, 0.50694, 0.57253, 0.50926, 0.61702, 0.51389, 0.6499, 0.51389, 0.67311, 0.50926, 0.68085, 0.50926, 0.66538, 0.50926, 0.6325, 0.50926, 0.58027, 0.50694, 0.5087, 0.49769, 0.41973, 0.49537, 0.33269, 0.49769, 0.25532, 0.49769, 0.20116, 0.48611, 0.147, 0.49074, 0.11219, 0.49769, 0.098646, 0.49769, 0.10638, 0.49769, 0.10832, 0.49306, 0.10832, 0.50694, 0.15474, 0.49306, 0.21663, 0.49306, 0.28046, 0.50694, 0.3617, 0.50926, 0.43714, 0.50694, 0.5029, 0.50926, 0.55319, 0.51157, 0.59381, 0.51389, 0.62476, 0.51389, 0.64603, 0.51157, 0.65184, 0.50926, 0.64023, 0.50694, 0.60928, 0.50231, 0.55706, 0.49537, 0.4913, 0.49769, 0.41779, 0.50231, 0.33656, 0.50463, 0.26306, 0.49306, 0.19729, 0.48843, 2
0.58801, 0.58796, 0.58801, 0.58796, 0.58801, 0.58796, 0.58607, 0.58796, 0.58027, 0.58796, 0.56286, 0.58565, 0.52611, 0.58796, 0.47582, 0.58333, 0.42747, 0.58102, 0.37911, 0.58333, 0.33462, 0.58333, 0.29981, 0.58102, 0.2824, 0.5787, 0.2824, 0.58102, 0.29207, 0.57407, 0.30948, 0.57176, 0.34236, 0.57407, 0.39072, 0.5787, 0.43714, 0.5787, 0.48356, 0.58565, 0.52418, 0.59491, 0.55706, 0.60417, 0.58027, 0.60185, 0.58801, 0.60648, 0.58221, 0.60648, 0.55126, 0.60417, 0.51064, 0.59954, 0.45455, 0.59259, 0.39458, 0.58333, 0.33462, 0.57639, 0.28433, 0.54861, 0.24178, 0.55324, 0.21277, 0.56019, 0.21083, 0.56713, 0.23598, 0.57639, 0.27466, 0.58333, 0.32689, 0.59722, 0.38878, 0.59954, 0.44681, 0.60185, 0.5029, 0.60648, 0.55319, 0.61574, 0.58994, 0.62037, 0.60735, 0.625, 0.60928, 0.62963, 0.60542, 0.63657, 2
0.75242, 0.62963, 0.74855, 0.63426, 0.74662, 0.63657, 0.74468, 0.63657, 0.74855, 0.62731, 0.75822, 0.59954, 0.75822, 0.58565, 0.75822, 0.57407, 0.76402, 0.54861, 0.76596, 0.50463, 0.76596, 0.46065, 0.76402, 0.42361, 0.76209, 0.38657, 0.75822, 0.34259, 0.74662, 0.2963, 0.73308, 0.25, 0.7176, 0.21528, 0.70019, 0.19676, 0.68859, 0.20602, 0.68279, 0.25, 0.68665, 0.31019, 0.69826, 0.37963, 0.70793, 0.44444, 0.71567, 0.49306, 0.7176, 0.53241, 0.72147, 0.5625, 0.73114, 0.57407, 0.73888, 0.57407, 0.74081, 0.5625, 0.74468, 0.53472, 0.74275, 0.49074, 0.73501, 0.44213, 0.72727, 0.39583, 0.71954, 0.35648, 0.7118, 0.31713, 0.70793, 0.27546, 0.70793, 0.23148, 0.70793, 0.2037, 0.70793, 0.2037, 0.70406, 0.23148, 0.70406, 0.28241, 0.70406, 0.33796, 0.70793, 0.40046, 0.70793, 0.46296, 0.70213, 0.5162, 3
