@relation movement_libras
@attribute 1st_coordinate_abcissa real [0.090909, 0.9323]
@attribute 1st_coordinate_ordinate real [0.14815, 0.88657]
@attribute 2st_coordinate_abcissa real [0.085106, 0.93037]
@attribute 2st_coordinate_ordinate real [0.14815, 0.88889]
@attribute 3st_coordinate_abcissa real [0.085106, 0.9323]
@attribute 3st_coordinate_ordinate real [0.14815, 0.88426]
@attribute 4st_coordinate_abcissa real [0.088975, 0.9323]
@attribute 4st_coordinate_ordinate real [0.14583, 0.88194]
@attribute 5st_coordinate_abcissa real [0.092843, 0.9323]
@attribute 5st_coordinate_ordinate real [0.14583, 0.875]
@attribute 6st_coordinate_abcissa real [0.10058, 0.9323]
@attribute 6st_coordinate_ordinate real [0.14352, 0.875]
@attribute 7st_coordinate_abcissa real [0.10445, 0.93424]
@attribute 7st_coordinate_ordinate real [0.14352, 0.87037]
@attribute 8st_coordinate_abcissa real [0.11025, 0.94197]
@attribute 8st_coordinate_ordinate real [0.1412, 0.86343]
@attribute 9st_coordinate_abcissa real [0.11992, 0.94391]
@attribute 9st_coordinate_ordinate real [0.1412, 0.86343]
@attribute 10st_coordinate_abcissa real [0.12766, 0.94391]
@attribute 10st_coordinate_ordinate real [0.13657, 0.86111]
@attribute 11st_coordinate_abcissa real [0.13153, 0.94197]
@attribute 11st_coordinate_ordinate real [0.13657, 0.84722]
@attribute 12st_coordinate_abcissa real [0.10638, 0.94197]
@attribute 12st_coordinate_ordinate real [0.13426, 0.84028]
@attribute 13st_coordinate_abcissa real [0.040619, 0.9381]
@attribute 13st_coordinate_ordinate real [0.092593, 1.0]
@attribute 14st_coordinate_abcissa real [0.015474, 0.9265]
@attribute 14st_coordinate_ordinate real [0.018519, 0.84028]
@attribute 15st_coordinate_abcissa real [0.017408, 0.91489]
@attribute 15st_coordinate_ordinate real [0.018519, 0.84028]
@attribute 16st_coordinate_abcissa real [0.023211, 0.91103]
@attribute 16st_coordinate_ordinate real [0.0625, 0.84028]
@attribute 17st_coordinate_abcissa real [0.052224, 0.88781]
@attribute 17st_coordinate_ordinate real [0.12269, 0.84028]
@attribute 18st_coordinate_abcissa real [0.10832, 0.88781]
@attribute 18st_coordinate_ordinate real [0.14815, 0.84028]
@attribute 19st_coordinate_abcissa real [0.13926, 0.88781]
@attribute 19st_coordinate_ordinate real [0.14583, 0.84028]
@attribute 20st_coordinate_abcissa real [0.16054, 0.88588]
@attribute 20st_coordinate_ordinate real [0.12963, 0.84028]
@attribute 21st_coordinate_abcissa real [0.147, 0.88008]
@attribute 21st_coordinate_ordinate real [0.13194, 0.84028]
@attribute 22st_coordinate_abcissa real [0.11219, 0.88008]
@attribute 22st_coordinate_ordinate real [0.15046, 0.84028]
@attribute 23st_coordinate_abcissa real [0.088975, 0.88008]
@attribute 23st_coordinate_ordinate real [0.14815, 0.83796]
@attribute 24st_coordinate_abcissa real [0.083172, 0.88008]
@attribute 24st_coordinate_ordinate real [0.14352, 0.87037]
@attribute 25st_coordinate_abcissa real [0.071567, 0.88588]
@attribute 25st_coordinate_ordinate real [0.13889, 0.95833]
@attribute 26st_coordinate_abcissa real [0.052224, 0.89362]
@attribute 26st_coordinate_ordinate real [0.13657, 0.9838]
@attribute 27st_coordinate_abcissa real [0.046422, 0.89555]
@attribute 27st_coordinate_ordinate real [0.13426, 0.85185]
@attribute 28st_coordinate_abcissa real [0.040619, 0.88975]
@attribute 28st_coordinate_ordinate real [0.13194, 0.86806]
@attribute 29st_coordinate_abcissa real [0.048356, 0.89749]
@attribute 29st_coordinate_ordinate real [0.12731, 0.87037]
@attribute 30st_coordinate_abcissa real [0.067698, 0.88975]
@attribute 30st_coordinate_ordinate real [0.11111, 0.86111]
@attribute 31st_coordinate_abcissa real [0.088975, 0.89749]
@attribute 31st_coordinate_ordinate real [0.10185, 0.85417]
@attribute 32st_coordinate_abcissa real [0.094778, 0.90522]
@attribute 32st_coordinate_ordinate real [0.041667, 0.83565]
@attribute 33st_coordinate_abcissa real [0.092843, 0.91876]
@attribute 33st_coordinate_ordinate real [0.0, 0.82407]
@attribute 34st_coordinate_abcissa real [0.10058, 0.90716]
@attribute 34st_coordinate_ordinate real [0.0, 0.82639]
@attribute 35st_coordinate_abcissa real [0.071567, 0.90716]
@attribute 35st_coordinate_ordinate real [0.030093, 0.83333]
@attribute 36st_coordinate_abcissa real [0.065764, 0.91683]
@attribute 36st_coordinate_ordinate real [0.085648, 0.83565]
@attribute 37st_coordinate_abcissa real [0.017408, 0.9207]
@attribute 37st_coordinate_ordinate real [0.11111, 0.87963]
@attribute 38st_coordinate_abcissa real [0.0, 0.92456]
@attribute 38st_coordinate_ordinate real [0.099537, 0.9838]
@attribute 39st_coordinate_abcissa real [0.0058027, 0.92843]
@attribute 39st_coordinate_ordinate real [0.094907, 0.96991]
@attribute 40st_coordinate_abcissa real [0.025145, 0.94391]
@attribute 40st_coordinate_ordinate real [0.085648, 0.84722]
@attribute 41st_coordinate_abcissa real [0.059961, 0.96132]
@attribute 41st_coordinate_ordinate real [0.076389, 0.83102]
@attribute 42st_coordinate_abcissa real [0.059961, 0.97099]
@attribute 42st_coordinate_ordinate real [0.050926, 0.81944]
@attribute 43st_coordinate_abcissa real [0.029014, 0.97872]
@attribute 43st_coordinate_ordinate real [0.030093, 0.82407]
@attribute 44st_coordinate_abcissa real [0.011605, 0.98839]
@attribute 44st_coordinate_ordinate real [0.0092593, 0.87269]
@attribute 45st_coordinate_abcissa real [0.0058027, 1.0]
@attribute 45st_coordinate_ordinate real [0.0069444, 0.88426]
@attribute Class {1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15}
@inputs 1st_coordinate_abcissa, 1st_coordinate_ordinate, 2st_coordinate_abcissa, 2st_coordinate_ordinate, 3st_coordinate_abcissa, 3st_coordinate_ordinate, 4st_coordinate_abcissa, 4st_coordinate_ordinate, 5st_coordinate_abcissa, 5st_coordinate_ordinate, 6st_coordinate_abcissa, 6st_coordinate_ordinate, 7st_coordinate_abcissa, 7st_coordinate_ordinate, 8st_coordinate_abcissa, 8st_coordinate_ordinate, 9st_coordinate_abcissa, 9st_coordinate_ordinate, 10st_coordinate_abcissa, 10st_coordinate_ordinate, 11st_coordinate_abcissa, 11st_coordinate_ordinate, 12st_coordinate_abcissa, 12st_coordinate_ordinate, 13st_coordinate_abcissa, 13st_coordinate_ordinate, 14st_coordinate_abcissa, 14st_coordinate_ordinate, 15st_coordinate_abcissa, 15st_coordinate_ordinate, 16st_coordinate_abcissa, 16st_coordinate_ordinate, 17st_coordinate_abcissa, 17st_coordinate_ordinate, 18st_coordinate_abcissa, 18st_coordinate_ordinate, 19st_coordinate_abcissa, 19st_coordinate_ordinate, 20st_coordinate_abcissa, 20st_coordinate_ordinate, 21st_coordinate_abcissa, 21st_coordinate_ordinate, 22st_coordinate_abcissa, 22st_coordinate_ordinate, 23st_coordinate_abcissa, 23st_coordinate_ordinate, 24st_coordinate_abcissa, 24st_coordinate_ordinate, 25st_coordinate_abcissa, 25st_coordinate_ordinate, 26st_coordinate_abcissa, 26st_coordinate_ordinate, 27st_coordinate_abcissa, 27st_coordinate_ordinate, 28st_coordinate_abcissa, 28st_coordinate_ordinate, 29st_coordinate_abcissa, 29st_coordinate_ordinate, 30st_coordinate_abcissa, 30st_coordinate_ordinate, 31st_coordinate_abcissa, 31st_coordinate_ordinate, 32st_coordinate_abcissa, 32st_coordinate_ordinate, 33st_coordinate_abcissa, 33st_coordinate_ordinate, 34st_coordinate_abcissa, 34st_coordinate_ordinate, 35st_coordinate_abcissa, 35st_coordinate_ordinate, 36st_coordinate_abcissa, 36st_coordinate_ordinate, 37st_coordinate_abcissa, 37st_coordinate_ordinate, 38st_coordinate_abcissa, 38st_coordinate_ordinate, 39st_coordinate_abcissa, 39st_coordinate_ordinate, 40st_coordinate_abcissa, 40st_coordinate_ordinate, 41st_coordinate_abcissa, 41st_coordinate_ordinate, 42st_coordinate_abcissa, 42st_coordinate_ordinate, 43st_coordinate_abcissa, 43st_coordinate_ordinate, 44st_coordinate_abcissa, 44st_coordinate_ordinate, 45st_coordinate_abcissa, 45st_coordinate_ordinate
@outputs Class
@data
0.67892, 0.27315, 0.68085, 0.27315, 0.68085, 0.27315, 0.68085, 0.27315, 0.67892, 0.26852, 0.66344, 0.25694, 0.6383, 0.24769, 0.59961, 0.24074, 0.54159, 0.23843, 0.47195, 0.25231, 0.39652, 0.28009, 0.33075, 0.32407, 0.27079, 0.39583, 0.2147, 0.48611, 0.18182, 0.58796, 0.16248, 0.66667, 0.14894, 0.72685, 0.14507, 0.75694, 0.14894, 0.74074, 0.16054, 0.68056, 0.18375, 0.59491, 0.23404, 0.49537, 0.29014, 0.40741, 0.3617, 0.33565, 0.43907, 0.28704, 0.51644, 0.25926, 0.59381, 0.25, 0.66151, 0.26852, 0.706, 0.29398, 0.73694, 0.31944, 0.74275, 0.31944, 0.72921, 0.30324, 0.69826, 0.27315, 0.64603, 0.24769, 0.57447, 0.23148, 0.4913, 0.2338, 0.41586, 0.2662, 0.34623, 0.32639, 0.28627, 0.40509, 0.23404, 0.48843, 0.19536, 0.57407, 0.17795, 0.63657, 0.17215, 0.67361, 0.17021, 0.69213, 0.17215, 0.69213, 1
0.67118, 0.38426, 0.67118, 0.38657, 0.67311, 0.38657, 0.67311, 0.38426, 0.67311, 0.37963, 0.65957, 0.36574, 0.61702, 0.3588, 0.55706, 0.38889, 0.49323, 0.4537, 0.46615, 0.52315, 0.46228, 0.62037, 0.47389, 0.71759, 0.54545, 1.0, 0.47969, 0.80556, 0.44874, 0.7037, 0.45068, 0.59259, 0.46809, 0.48611, 0.51064, 0.38426, 0.56673, 0.2963, 0.64603, 0.24306, 0.74662, 0.25926, 0.83559, 0.34259, 0.87621, 0.44676, 0.87234, 0.48148, 0.86267, 0.44907, 0.84913, 0.38657, 0.82785, 0.32407, 0.7795, 0.25926, 0.69826, 0.23611, 0.60348, 0.2662, 0.52805, 0.32639, 0.47776, 0.40046, 0.44874, 0.46528, 0.43907, 0.53009, 0.4294, 0.62269, 0.44487, 0.75231, 0.45648, 0.84028, 0.51257, 0.9838, 0.5087, 0.96991, 0.47195, 0.81713, 0.46422, 0.76389, 0.44101, 0.6412, 0.45068, 0.54167, 0.47776, 0.44213, 0.53191, 0.34259, 1
0.19923, 0.30324, 0.19536, 0.30093, 0.19729, 0.30324, 0.19536, 0.30093, 0.20696, 0.28704, 0.27853, 0.27315, 0.37911, 0.26157, 0.47389, 0.28704, 0.55126, 0.34954, 0.62089, 0.43287, 0.66925, 0.53241, 0.70406, 0.61806, 0.70986, 0.66204, 0.706, 0.6713, 0.70019, 0.68981, 0.69246, 0.68519, 0.68085, 0.625, 0.6441, 0.5, 0.58414, 0.375, 0.49516, 0.29167, 0.38491, 0.25, 0.26306, 0.25, 0.18569, 0.28241, 0.15474, 0.30093, 0.12766, 0.30324, 0.12573, 0.30093, 0.13153, 0.2963, 0.14313, 0.30093, 0.18569, 0.28241, 0.26692, 0.25463, 0.38878, 0.24074, 0.51257, 0.2662, 0.61702, 0.34028, 0.67505, 0.42824, 0.70986, 0.52778, 0.73501, 0.61574, 0.74081, 0.64583, 0.73694, 0.65972, 0.73114, 0.65509, 0.7234, 0.59722, 0.69439, 0.49769, 0.65184, 0.39352, 0.58607, 0.30556, 0.48356, 0.24769, 0.37137, 0.24074, 1
0.24565, 0.31713, 0.24371, 0.31481, 0.24178, 0.31713, 0.25532, 0.30093, 0.2882, 0.28241, 0.34043, 0.26389, 0.40812, 0.26389, 0.47389, 0.28704, 0.53772, 0.32407, 0.59768, 0.38426, 0.64603, 0.46065, 0.68279, 0.54861, 0.70019, 0.62269, 0.70019, 0.67361, 0.69632, 0.69213, 0.69052, 0.6875, 0.67892, 0.65741, 0.6499, 0.58565, 0.60928, 0.48843, 0.55126, 0.3912, 0.47389, 0.31713, 0.3675, 0.28241, 0.25725, 0.28241, 0.18182, 0.30556, 0.15087, 0.3125, 0.1412, 0.31713, 0.13733, 0.32176, 0.1412, 0.3125, 0.15667, 0.29861, 0.19342, 0.28704, 0.25145, 0.26389, 0.34236, 0.25231, 0.43714, 0.25694, 0.52418, 0.29861, 0.59574, 0.3912, 0.66344, 0.49306, 0.71373, 0.57407, 0.72534, 0.59722, 0.71954, 0.60417, 0.7118, 0.62037, 0.69246, 0.57176, 0.64217, 0.47222, 0.57834, 0.37269, 0.49903, 0.30324, 0.40812, 0.27778, 1
0.4971, 0.67361, 0.4971, 0.6713, 0.4971, 0.67361, 0.49323, 0.66898, 0.47582, 0.65509, 0.44487, 0.64583, 0.40232, 0.63657, 0.34236, 0.63426, 0.27853, 0.64352, 0.22244, 0.62269, 0.18569, 0.63426, 0.12379, 0.7037, 0.12959, 0.69676, 0.15667, 0.64815, 0.17795, 0.61111, 0.2147, 0.58796, 0.27273, 0.53935, 0.34429, 0.4838, 0.41973, 0.44213, 0.48743, 0.42361, 0.55513, 0.4213, 0.62476, 0.46065, 0.66925, 0.53935, 0.67892, 0.56019, 0.67311, 0.54398, 0.65184, 0.50231, 0.60735, 0.46528, 0.54739, 0.45139, 0.47969, 0.45602, 0.41973, 0.47917, 0.36557, 0.5162, 0.32495, 0.56481, 0.2882, 0.61806, 0.24371, 0.65972, 0.22244, 0.6713, 0.23404, 0.66435, 0.25725, 0.6412, 0.29207, 0.59722, 0.33075, 0.53241, 0.37718, 0.4838, 0.43133, 0.44676, 0.4971, 0.42361, 0.56093, 0.42361, 0.61509, 0.46528, 0.65377, 0.55556, 1
0.79884, 0.625, 0.80077, 0.62269, 0.79884, 0.625, 0.79691, 0.625, 0.78917, 0.59722, 0.76983, 0.49769, 0.71373, 0.49769, 0.65184, 0.50231, 0.58994, 0.50463, 0.52418, 0.52778, 0.45068, 0.53241, 0.38298, 0.53704, 0.31141, 0.53009, 0.24565, 0.53472, 0.23791, 0.53241, 0.26692, 0.53472, 0.33849, 0.53935, 0.41586, 0.55787, 0.48549, 0.5625, 0.54932, 0.54861, 0.61896, 0.5463, 0.68859, 0.54861, 0.74275, 0.55324, 0.74855, 0.55787, 0.75242, 0.55324, 0.72147, 0.55324, 0.66344, 0.55093, 0.59381, 0.55324, 0.53385, 0.55093, 0.48162, 0.54167, 0.42553, 0.53935, 0.37524, 0.53704, 0.32108, 0.53704, 0.2766, 0.5463, 0.26306, 0.55093, 0.2766, 0.5463, 0.31335, 0.54861, 0.37718, 0.55556, 0.44294, 0.5625, 0.51838, 0.5625, 0.58221, 0.5625, 0.64217, 0.56481, 0.68665, 0.56944, 0.73694, 0.57639, 0.75435, 0.5787, 2
0.83559, 0.61111, 0.83559, 0.61111, 0.83366, 0.61111, 0.82785, 0.61111, 0.82979, 0.52778, 0.78337, 0.52778, 0.73694, 0.50926, 0.65957, 0.5162, 0.59188, 0.5162, 0.52031, 0.52315, 0.45841, 0.52315, 0.41006, 0.52315, 0.36944, 0.52315, 0.33849, 0.52778, 0.34816, 0.52778, 0.39652, 0.53009, 0.46228, 0.53241, 0.53191, 0.53935, 0.59768, 0.53472, 0.67311, 0.52778, 0.73114, 0.53241, 0.77756, 0.53241, 0.80658, 0.52778, 0.80658, 0.53009, 0.79884, 0.52546, 0.77369, 0.51389, 0.71373, 0.51157, 0.63443, 0.52083, 0.56673, 0.53241, 0.51838, 0.53241, 0.47195, 0.53241, 0.43907, 0.54167, 0.41006, 0.54861, 0.37137, 0.54861, 0.33462, 0.54167, 0.29787, 0.53472, 0.2882, 0.53935, 0.30754, 0.53472, 0.3559, 0.53472, 0.41586, 0.54167, 0.46809, 0.54398, 0.52418, 0.54398, 0.57253, 0.54398, 0.6383, 0.53009, 0.70793, 0.52315, 2
0.83366, 0.52315, 0.83172, 0.52778, 0.83559, 0.52546, 0.83366, 0.52546, 0.83946, 0.52083, 0.83559, 0.52315, 0.83559, 0.52315, 0.83366, 0.52083, 0.83366, 0.5162, 0.80464, 0.50694, 0.75048, 0.50463, 0.68859, 0.50926, 0.62476, 0.51852, 0.55706, 0.52778, 0.49323, 0.53935, 0.43133, 0.53935, 0.36944, 0.54398, 0.30948, 0.54861, 0.26306, 0.55093, 0.25725, 0.55093, 0.29014, 0.55324, 0.35397, 0.55556, 0.42166, 0.56019, 0.4971, 0.56481, 0.57253, 0.56944, 0.6441, 0.56713, 0.69439, 0.56481, 0.74081, 0.5625, 0.77176, 0.5625, 0.77369, 0.55556, 0.75435, 0.55556, 0.72727, 0.54398, 0.65377, 0.54398, 0.57253, 0.54398, 0.51257, 0.5463, 0.46422, 0.55556, 0.40232, 0.5463, 0.3617, 0.54398, 0.31721, 0.52778, 0.29014, 0.52083, 0.29014, 0.52546, 0.32882, 0.53704, 0.39458, 0.53472, 0.47002, 0.54167, 0.55319, 0.53704, 2
0.23211, 0.45139, 0.23598, 0.44907, 0.23791, 0.44907, 0.24371, 0.45139, 0.28046, 0.46759, 0.3559, 0.48611, 0.44101, 0.48148, 0.51838, 0.47454, 0.58801, 0.46528, 0.64603, 0.46296, 0.69052, 0.46528, 0.7176, 0.46759, 0.73114, 0.46528, 0.72921, 0.47222, 0.70019, 0.46991, 0.65184, 0.46759, 0.59381, 0.46296, 0.51838, 0.46759, 0.43327, 0.47685, 0.35397, 0.4838, 0.28433, 0.48148, 0.22824, 0.46528, 0.19149, 0.45602, 0.16634, 0.46065, 0.17408, 0.43981, 0.17408, 0.43519, 0.17408, 0.43287, 0.19149, 0.44213, 0.23985, 0.45602, 0.32882, 0.45833, 0.42747, 0.44444, 0.51064, 0.43519, 0.5706, 0.42361, 0.61509, 0.41667, 0.65184, 0.41667, 0.67892, 0.41435, 0.69052, 0.41898, 0.69439, 0.42593, 0.68279, 0.43056, 0.64603, 0.43519, 0.59188, 0.43519, 0.52031, 0.43519, 0.44101, 0.44213, 0.36364, 0.44907, 0.29981, 0.44676, 2
0.60155, 0.65046, 0.60155, 0.65046, 0.60155, 0.65278, 0.59768, 0.65278, 0.57447, 0.64583, 0.52805, 0.63194, 0.47195, 0.61574, 0.41393, 0.61574, 0.35977, 0.61806, 0.31528, 0.62037, 0.27853, 0.625, 0.24758, 0.62731, 0.22824, 0.63194, 0.21857, 0.63657, 0.22244, 0.63657, 0.23985, 0.63889, 0.27853, 0.64583, 0.32689, 0.6412, 0.38104, 0.62731, 0.44294, 0.61806, 0.5029, 0.61343, 0.55319, 0.61343, 0.59381, 0.61806, 0.62669, 0.62269, 0.64603, 0.62037, 0.65377, 0.62037, 0.65184, 0.62269, 0.6325, 0.62037, 0.59188, 0.61111, 0.53578, 0.59722, 0.47389, 0.58565, 0.41586, 0.58565, 0.3617, 0.59722, 0.31528, 0.60648, 0.27466, 0.61574, 0.23985, 0.62037, 0.22244, 0.62963, 0.22631, 0.625, 0.24952, 0.62963, 0.29981, 0.62269, 0.35783, 0.62269, 0.42166, 0.61574, 0.48936, 0.61111, 0.55319, 0.61111, 0.60155, 0.61111, 2
