@relation movement_libras
@attribute 1st_coordinate_abcissa real [0.090909, 0.9323]
@attribute 1st_coordinate_ordinate real [0.14815, 0.88657]
@attribute 2st_coordinate_abcissa real [0.085106, 0.93037]
@attribute 2st_coordinate_ordinate real [0.14815, 0.88889]
@attribute 3st_coordinate_abcissa real [0.085106, 0.9323]
@attribute 3st_coordinate_ordinate real [0.14815, 0.88426]
@attribute 4st_coordinate_abcissa real [0.088975, 0.9323]
@attribute 4st_coordinate_ordinate real [0.14583, 0.88194]
@attribute 5st_coordinate_abcissa real [0.092843, 0.9323]
@attribute 5st_coordinate_ordinate real [0.14583, 0.875]
@attribute 6st_coordinate_abcissa real [0.10058, 0.9323]
@attribute 6st_coordinate_ordinate real [0.14352, 0.875]
@attribute 7st_coordinate_abcissa real [0.10445, 0.93424]
@attribute 7st_coordinate_ordinate real [0.14352, 0.87037]
@attribute 8st_coordinate_abcissa real [0.11025, 0.94197]
@attribute 8st_coordinate_ordinate real [0.1412, 0.86343]
@attribute 9st_coordinate_abcissa real [0.11992, 0.94391]
@attribute 9st_coordinate_ordinate real [0.1412, 0.86343]
@attribute 10st_coordinate_abcissa real [0.12766, 0.94391]
@attribute 10st_coordinate_ordinate real [0.13657, 0.86111]
@attribute 11st_coordinate_abcissa real [0.13153, 0.94197]
@attribute 11st_coordinate_ordinate real [0.13657, 0.84722]
@attribute 12st_coordinate_abcissa real [0.10638, 0.94197]
@attribute 12st_coordinate_ordinate real [0.13426, 0.84028]
@attribute 13st_coordinate_abcissa real [0.040619, 0.9381]
@attribute 13st_coordinate_ordinate real [0.092593, 1.0]
@attribute 14st_coordinate_abcissa real [0.015474, 0.9265]
@attribute 14st_coordinate_ordinate real [0.018519, 0.84028]
@attribute 15st_coordinate_abcissa real [0.017408, 0.91489]
@attribute 15st_coordinate_ordinate real [0.018519, 0.84028]
@attribute 16st_coordinate_abcissa real [0.023211, 0.91103]
@attribute 16st_coordinate_ordinate real [0.0625, 0.84028]
@attribute 17st_coordinate_abcissa real [0.052224, 0.88781]
@attribute 17st_coordinate_ordinate real [0.12269, 0.84028]
@attribute 18st_coordinate_abcissa real [0.10832, 0.88781]
@attribute 18st_coordinate_ordinate real [0.14815, 0.84028]
@attribute 19st_coordinate_abcissa real [0.13926, 0.88781]
@attribute 19st_coordinate_ordinate real [0.14583, 0.84028]
@attribute 20st_coordinate_abcissa real [0.16054, 0.88588]
@attribute 20st_coordinate_ordinate real [0.12963, 0.84028]
@attribute 21st_coordinate_abcissa real [0.147, 0.88008]
@attribute 21st_coordinate_ordinate real [0.13194, 0.84028]
@attribute 22st_coordinate_abcissa real [0.11219, 0.88008]
@attribute 22st_coordinate_ordinate real [0.15046, 0.84028]
@attribute 23st_coordinate_abcissa real [0.088975, 0.88008]
@attribute 23st_coordinate_ordinate real [0.14815, 0.83796]
@attribute 24st_coordinate_abcissa real [0.083172, 0.88008]
@attribute 24st_coordinate_ordinate real [0.14352, 0.87037]
@attribute 25st_coordinate_abcissa real [0.071567, 0.88588]
@attribute 25st_coordinate_ordinate real [0.13889, 0.95833]
@attribute 26st_coordinate_abcissa real [0.052224, 0.89362]
@attribute 26st_coordinate_ordinate real [0.13657, 0.9838]
@attribute 27st_coordinate_abcissa real [0.046422, 0.89555]
@attribute 27st_coordinate_ordinate real [0.13426, 0.85185]
@attribute 28st_coordinate_abcissa real [0.040619, 0.88975]
@attribute 28st_coordinate_ordinate real [0.13194, 0.86806]
@attribute 29st_coordinate_abcissa real [0.048356, 0.89749]
@attribute 29st_coordinate_ordinate real [0.12731, 0.87037]
@attribute 30st_coordinate_abcissa real [0.067698, 0.88975]
@attribute 30st_coordinate_ordinate real [0.11111, 0.86111]
@attribute 31st_coordinate_abcissa real [0.088975, 0.89749]
@attribute 31st_coordinate_ordinate real [0.10185, 0.85417]
@attribute 32st_coordinate_abcissa real [0.094778, 0.90522]
@attribute 32st_coordinate_ordinate real [0.041667, 0.83565]
@attribute 33st_coordinate_abcissa real [0.092843, 0.91876]
@attribute 33st_coordinate_ordinate real [0.0, 0.82407]
@attribute 34st_coordinate_abcissa real [0.10058, 0.90716]
@attribute 34st_coordinate_ordinate real [0.0, 0.82639]
@attribute 35st_coordinate_abcissa real [0.071567, 0.90716]
@attribute 35st_coordinate_ordinate real [0.030093, 0.83333]
@attribute 36st_coordinate_abcissa real [0.065764, 0.91683]
@attribute 36st_coordinate_ordinate real [0.085648, 0.83565]
@attribute 37st_coordinate_abcissa real [0.017408, 0.9207]
@attribute 37st_coordinate_ordinate real [0.11111, 0.87963]
@attribute 38st_coordinate_abcissa real [0.0, 0.92456]
@attribute 38st_coordinate_ordinate real [0.099537, 0.9838]
@attribute 39st_coordinate_abcissa real [0.0058027, 0.92843]
@attribute 39st_coordinate_ordinate real [0.094907, 0.96991]
@attribute 40st_coordinate_abcissa real [0.025145, 0.94391]
@attribute 40st_coordinate_ordinate real [0.085648, 0.84722]
@attribute 41st_coordinate_abcissa real [0.059961, 0.96132]
@attribute 41st_coordinate_ordinate real [0.076389, 0.83102]
@attribute 42st_coordinate_abcissa real [0.059961, 0.97099]
@attribute 42st_coordinate_ordinate real [0.050926, 0.81944]
@attribute 43st_coordinate_abcissa real [0.029014, 0.97872]
@attribute 43st_coordinate_ordinate real [0.030093, 0.82407]
@attribute 44st_coordinate_abcissa real [0.011605, 0.98839]
@attribute 44st_coordinate_ordinate real [0.0092593, 0.87269]
@attribute 45st_coordinate_abcissa real [0.0058027, 1.0]
@attribute 45st_coordinate_ordinate real [0.0069444, 0.88426]
@attribute Class {1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15}
@inputs 1st_coordinate_abcissa, 1st_coordinate_ordinate, 2st_coordinate_abcissa, 2st_coordinate_ordinate, 3st_coordinate_abcissa, 3st_coordinate_ordinate, 4st_coordinate_abcissa, 4st_coordinate_ordinate, 5st_coordinate_abcissa, 5st_coordinate_ordinate, 6st_coordinate_abcissa, 6st_coordinate_ordinate, 7st_coordinate_abcissa, 7st_coordinate_ordinate, 8st_coordinate_abcissa, 8st_coordinate_ordinate, 9st_coordinate_abcissa, 9st_coordinate_ordinate, 10st_coordinate_abcissa, 10st_coordinate_ordinate, 11st_coordinate_abcissa, 11st_coordinate_ordinate, 12st_coordinate_abcissa, 12st_coordinate_ordinate, 13st_coordinate_abcissa, 13st_coordinate_ordinate, 14st_coordinate_abcissa, 14st_coordinate_ordinate, 15st_coordinate_abcissa, 15st_coordinate_ordinate, 16st_coordinate_abcissa, 16st_coordinate_ordinate, 17st_coordinate_abcissa, 17st_coordinate_ordinate, 18st_coordinate_abcissa, 18st_coordinate_ordinate, 19st_coordinate_abcissa, 19st_coordinate_ordinate, 20st_coordinate_abcissa, 20st_coordinate_ordinate, 21st_coordinate_abcissa, 21st_coordinate_ordinate, 22st_coordinate_abcissa, 22st_coordinate_ordinate, 23st_coordinate_abcissa, 23st_coordinate_ordinate, 24st_coordinate_abcissa, 24st_coordinate_ordinate, 25st_coordinate_abcissa, 25st_coordinate_ordinate, 26st_coordinate_abcissa, 26st_coordinate_ordinate, 27st_coordinate_abcissa, 27st_coordinate_ordinate, 28st_coordinate_abcissa, 28st_coordinate_ordinate, 29st_coordinate_abcissa, 29st_coordinate_ordinate, 30st_coordinate_abcissa, 30st_coordinate_ordinate, 31st_coordinate_abcissa, 31st_coordinate_ordinate, 32st_coordinate_abcissa, 32st_coordinate_ordinate, 33st_coordinate_abcissa, 33st_coordinate_ordinate, 34st_coordinate_abcissa, 34st_coordinate_ordinate, 35st_coordinate_abcissa, 35st_coordinate_ordinate, 36st_coordinate_abcissa, 36st_coordinate_ordinate, 37st_coordinate_abcissa, 37st_coordinate_ordinate, 38st_coordinate_abcissa, 38st_coordinate_ordinate, 39st_coordinate_abcissa, 39st_coordinate_ordinate, 40st_coordinate_abcissa, 40st_coordinate_ordinate, 41st_coordinate_abcissa, 41st_coordinate_ordinate, 42st_coordinate_abcissa, 42st_coordinate_ordinate, 43st_coordinate_abcissa, 43st_coordinate_ordinate, 44st_coordinate_abcissa, 44st_coordinate_ordinate, 45st_coordinate_abcissa, 45st_coordinate_ordinate
@outputs Class
@data
0.79691, 0.38194, 0.79691, 0.37731, 0.79884, 0.37731, 0.79497, 0.37731, 0.77563, 0.35417, 0.73501, 0.32639, 0.67505, 0.30093, 0.59381, 0.29398, 0.4971, 0.32407, 0.41586, 0.38426, 0.34816, 0.45833, 0.2882, 0.57639, 0.26499, 0.72685, 0.26112, 0.82639, 0.26306, 0.81944, 0.27079, 0.72685, 0.2882, 0.60648, 0.33075, 0.50694, 0.38685, 0.42593, 0.45261, 0.37037, 0.53965, 0.3287, 0.62089, 0.31481, 0.68472, 0.32176, 0.73308, 0.34028, 0.76402, 0.37037, 0.77756, 0.37963, 0.76015, 0.36806, 0.70793, 0.32407, 0.62863, 0.29861, 0.53965, 0.30787, 0.44487, 0.35185, 0.3617, 0.4213, 0.29787, 0.53241, 0.2824, 0.64815, 0.294, 0.74537, 0.31141, 0.83565, 0.31335, 0.87963, 0.30561, 0.83796, 0.29594, 0.74074, 0.30368, 0.62269, 0.34043, 0.51389, 0.39845, 0.42593, 0.47389, 0.36111, 0.55899, 0.3125, 0.6383, 0.29398, 1
0.72147, 0.23611, 0.7234, 0.23611, 0.7234, 0.23611, 0.7234, 0.23611, 0.7234, 0.23611, 0.71567, 0.2338, 0.67505, 0.22685, 0.59188, 0.22685, 0.4971, 0.25, 0.42747, 0.3125, 0.36944, 0.38194, 0.30948, 0.49306, 0.27853, 0.62269, 0.26306, 0.71528, 0.26112, 0.76389, 0.25919, 0.7662, 0.27466, 0.69676, 0.30754, 0.55787, 0.37718, 0.43056, 0.46035, 0.35185, 0.55899, 0.30556, 0.65377, 0.29861, 0.73114, 0.2963, 0.79304, 0.30556, 0.82012, 0.31481, 0.80851, 0.30787, 0.75629, 0.28704, 0.66538, 0.27083, 0.54932, 0.26157, 0.45841, 0.31481, 0.39458, 0.3912, 0.33849, 0.48843, 0.30754, 0.59722, 0.2882, 0.6713, 0.28046, 0.71759, 0.28046, 0.73148, 0.2882, 0.6875, 0.31141, 0.58102, 0.3675, 0.46759, 0.44101, 0.37731, 0.52031, 0.30556, 0.59768, 0.25926, 0.67118, 0.25231, 0.73501, 0.2662, 0.78143, 0.27778, 1
0.5648, 0.32407, 0.56286, 0.32407, 0.56093, 0.32407, 0.55899, 0.32407, 0.55899, 0.32407, 0.55126, 0.31019, 0.52224, 0.28472, 0.46615, 0.26852, 0.39072, 0.28241, 0.31141, 0.32176, 0.24371, 0.38657, 0.17795, 0.44676, 0.12186, 0.55787, 0.10251, 0.67824, 0.098646, 0.75694, 0.096712, 0.75, 0.092843, 0.6875, 0.10832, 0.59722, 0.13926, 0.50694, 0.17988, 0.42361, 0.23598, 0.36111, 0.30754, 0.30556, 0.39845, 0.25926, 0.48936, 0.23843, 0.56867, 0.25231, 0.62282, 0.28472, 0.6499, 0.29861, 0.64797, 0.28935, 0.62089, 0.2662, 0.56286, 0.25231, 0.47969, 0.25231, 0.38491, 0.28241, 0.30368, 0.33565, 0.24565, 0.40046, 0.20503, 0.45139, 0.17602, 0.50694, 0.15667, 0.5787, 0.1412, 0.63194, 0.13926, 0.62037, 0.16054, 0.55556, 0.20503, 0.49074, 0.26306, 0.42361, 0.33269, 0.34722, 0.41006, 0.28009, 0.4913, 0.24306, 1
0.77756, 0.63426, 0.77563, 0.63426, 0.77369, 0.61806, 0.75822, 0.50694, 0.71373, 0.40509, 0.65184, 0.38426, 0.56286, 0.36574, 0.46228, 0.39352, 0.38878, 0.43519, 0.34623, 0.4838, 0.32882, 0.53472, 0.31141, 0.57176, 0.29207, 0.61806, 0.29594, 0.7338, 0.29014, 0.72454, 0.29981, 0.58796, 0.34236, 0.51852, 0.42166, 0.45139, 0.51451, 0.41667, 0.58994, 0.43287, 0.64797, 0.44444, 0.69246, 0.45602, 0.74662, 0.51852, 0.80464, 0.56713, 0.84139, 0.61574, 0.84526, 0.60648, 0.81625, 0.55556, 0.75242, 0.46991, 0.66731, 0.40972, 0.58027, 0.43056, 0.49323, 0.4213, 0.40619, 0.44676, 0.33849, 0.51157, 0.29594, 0.55787, 0.23017, 0.59954, 0.17795, 0.68519, 0.16248, 0.71759, 0.17408, 0.7037, 0.23598, 0.58102, 0.32108, 0.52778, 0.38298, 0.46991, 0.46422, 0.4375, 0.55899, 0.44213, 0.6325, 0.46296, 0.68085, 0.4838, 1
0.58801, 0.72454, 0.58801, 0.72685, 0.58801, 0.72222, 0.58801, 0.72222, 0.58801, 0.71991, 0.55899, 0.6875, 0.5087, 0.62269, 0.43133, 0.57407, 0.34236, 0.55093, 0.25338, 0.54861, 0.17602, 0.55324, 0.10638, 0.6088, 0.040619, 0.70833, 0.015474, 0.73611, 0.017408, 0.72917, 0.023211, 0.69213, 0.052224, 0.59259, 0.11025, 0.47454, 0.17795, 0.39583, 0.24952, 0.40046, 0.33269, 0.40278, 0.43714, 0.42824, 0.51838, 0.48611, 0.58801, 0.54861, 0.6383, 0.66435, 0.6499, 0.68287, 0.64217, 0.67361, 0.62669, 0.63657, 0.59961, 0.54398, 0.54545, 0.49074, 0.46035, 0.43056, 0.37718, 0.41667, 0.30561, 0.43519, 0.23404, 0.48843, 0.15667, 0.55324, 0.081238, 0.60185, 0.017408, 0.67824, 0.0, 0.70139, 0.0058027, 0.67824, 0.025145, 0.63194, 0.065764, 0.57176, 0.12186, 0.45833, 0.20309, 0.36343, 0.29787, 0.34491, 0.40812, 0.36806, 1
0.83559, 0.41898, 0.83752, 0.42361, 0.83559, 0.4213, 0.82979, 0.4213, 0.82785, 0.42361, 0.82592, 0.4213, 0.80464, 0.41435, 0.75822, 0.40046, 0.70213, 0.3912, 0.65764, 0.38194, 0.59961, 0.37731, 0.53191, 0.37963, 0.46422, 0.3912, 0.40426, 0.40509, 0.3617, 0.41667, 0.33656, 0.42361, 0.34043, 0.42824, 0.37524, 0.42824, 0.42747, 0.42361, 0.4971, 0.41898, 0.56673, 0.41204, 0.6325, 0.40972, 0.69246, 0.41204, 0.74662, 0.41667, 0.79691, 0.4213, 0.83946, 0.42824, 0.86267, 0.43287, 0.8646, 0.43287, 0.83172, 0.42824, 0.77756, 0.42361, 0.70986, 0.41667, 0.6383, 0.40972, 0.57253, 0.40741, 0.51257, 0.40509, 0.45455, 0.40972, 0.40232, 0.41435, 0.35977, 0.42593, 0.32495, 0.42593, 0.30948, 0.42824, 0.31721, 0.43287, 0.34623, 0.43519, 0.39072, 0.42361, 0.44101, 0.41435, 0.5029, 0.40741, 0.56673, 0.40509, 2
0.78143, 0.60185, 0.7795, 0.60185, 0.78143, 0.60417, 0.78143, 0.60185, 0.77176, 0.59954, 0.79884, 0.49769, 0.75048, 0.49769, 0.68665, 0.51157, 0.61896, 0.52546, 0.54545, 0.52778, 0.50097, 0.51389, 0.4294, 0.51157, 0.35977, 0.50694, 0.29787, 0.5162, 0.23791, 0.51389, 0.25919, 0.52546, 0.33269, 0.52083, 0.40812, 0.51157, 0.47969, 0.50463, 0.54739, 0.50926, 0.60928, 0.51157, 0.67311, 0.51389, 0.72727, 0.51157, 0.76402, 0.49769, 0.77369, 0.48843, 0.76015, 0.49769, 0.71373, 0.50463, 0.66151, 0.50694, 0.60348, 0.51389, 0.54932, 0.51157, 0.50097, 0.50926, 0.43133, 0.51852, 0.3559, 0.52778, 0.28433, 0.53009, 0.23404, 0.53009, 0.2089, 0.52315, 0.24565, 0.52778, 0.31141, 0.53009, 0.37911, 0.52778, 0.44294, 0.52315, 0.5029, 0.52315, 0.56286, 0.52778, 0.61896, 0.53009, 0.67892, 0.52778, 0.72921, 0.53009, 2
0.54159, 0.61806, 0.54159, 0.61806, 0.54159, 0.62037, 0.53772, 0.62037, 0.52418, 0.61806, 0.5087, 0.62037, 0.50097, 0.625, 0.48936, 0.62963, 0.46422, 0.63194, 0.43714, 0.63657, 0.41973, 0.6412, 0.40426, 0.63889, 0.38298, 0.63889, 0.36364, 0.63194, 0.34236, 0.62963, 0.33075, 0.62731, 0.33656, 0.62731, 0.3501, 0.62269, 0.37331, 0.62269, 0.39072, 0.62731, 0.41006, 0.62269, 0.43714, 0.61806, 0.46809, 0.61343, 0.50677, 0.61343, 0.54352, 0.61111, 0.57253, 0.61806, 0.58221, 0.62037, 0.59188, 0.62731, 0.58027, 0.62269, 0.54932, 0.62037, 0.50484, 0.61343, 0.45261, 0.61111, 0.40619, 0.61574, 0.37524, 0.6088, 0.34816, 0.60648, 0.32495, 0.59722, 0.30561, 0.59954, 0.2882, 0.59954, 0.28046, 0.59954, 0.29207, 0.59259, 0.33075, 0.5787, 0.37718, 0.56481, 0.41973, 0.56944, 0.47582, 0.57639, 0.52418, 0.59028, 2
0.53578, 0.53472, 0.53578, 0.53472, 0.53578, 0.53472, 0.53578, 0.53704, 0.53191, 0.53704, 0.51451, 0.53704, 0.48936, 0.54167, 0.46422, 0.55093, 0.4294, 0.55556, 0.39265, 0.56019, 0.3617, 0.56944, 0.33269, 0.58333, 0.30561, 0.59491, 0.27853, 0.60417, 0.25532, 0.60648, 0.24565, 0.61343, 0.24758, 0.6088, 0.25532, 0.60648, 0.26692, 0.60417, 0.28433, 0.60417, 0.29981, 0.59259, 0.32495, 0.58333, 0.36364, 0.57407, 0.41393, 0.56713, 0.46422, 0.5625, 0.5087, 0.56019, 0.54932, 0.56481, 0.58414, 0.58102, 0.61122, 0.59722, 0.61122, 0.59491, 0.60348, 0.59028, 0.58994, 0.58333, 0.56093, 0.57639, 0.51064, 0.57407, 0.45261, 0.57639, 0.40426, 0.58102, 0.36364, 0.58565, 0.33075, 0.59259, 0.30174, 0.59259, 0.2766, 0.59028, 0.25532, 0.59028, 0.24952, 0.59259, 0.25532, 0.58333, 0.26692, 0.58796, 0.2882, 0.58333, 2
0.51644, 0.65741, 0.51644, 0.65741, 0.51644, 0.65741, 0.51644, 0.65972, 0.5029, 0.65509, 0.48356, 0.65278, 0.44874, 0.64583, 0.40812, 0.64352, 0.3617, 0.63657, 0.31335, 0.62731, 0.26499, 0.61574, 0.21663, 0.62037, 0.18569, 0.62731, 0.17215, 0.63657, 0.18762, 0.64352, 0.22244, 0.65278, 0.27466, 0.65741, 0.32689, 0.65741, 0.37911, 0.65278, 0.43133, 0.65278, 0.48549, 0.65509, 0.52031, 0.65741, 0.55899, 0.66435, 0.59381, 0.67593, 0.60928, 0.68287, 0.60542, 0.68056, 0.59188, 0.67361, 0.56093, 0.66435, 0.51257, 0.65509, 0.45068, 0.64583, 0.38878, 0.6412, 0.32689, 0.63889, 0.27079, 0.63657, 0.2205, 0.65046, 0.17215, 0.67361, 0.16054, 0.6875, 0.16634, 0.68519, 0.17988, 0.68519, 0.21277, 0.68519, 0.26112, 0.66898, 0.31528, 0.65741, 0.3675, 0.65046, 0.42166, 0.64815, 0.46809, 0.64815, 0.51451, 0.65509, 2
